                                     mean         std        2.5q        25q        50q         75q      97.5q       mc err
a_subj(HC.hoarding).40            1.60757   0.0649567     1.48937     1.5635    1.60475     1.65013     1.7432   0.00134711
a_subj(HC.hoarding).41            1.64603    0.197005     1.34646    1.50844     1.6164     1.74623     2.1358    0.0126807
a_subj(HC.hoarding).42            1.03829   0.0808239    0.893147   0.965483    1.05394     1.10133     1.1737   0.00639672
a_subj(HC.hoarding).43            1.33405   0.0531793     1.23664    1.29702    1.33147      1.3679    1.44649   0.00116236
a_subj(HC.hoarding).44            1.45681   0.0598505     1.34646    1.41416    1.45468     1.49736    1.57539   0.00139206
a_subj(HC.hoarding).45            1.49652   0.0601452     1.38121    1.45528    1.49476       1.536    1.61676   0.00125936
a_subj(HC.hoarding).46            1.18126   0.0648296     1.06293    1.13673    1.17809     1.22239    1.31593   0.00193562
a_subj(HC.hoarding).47            1.00275   0.0667725    0.885841   0.957657   0.996603     1.04567     1.1471   0.00232004
a_subj(HC.hoarding).48           0.843977   0.0380119    0.772582    0.81746   0.843505    0.868964   0.921429  0.000846688
a_subj(HC.hoarding).49            1.30793     0.05881     1.19316    1.26791    1.30784     1.34769    1.42543   0.00131004
a_subj(HC.hoarding).50            1.81811   0.0739184     1.68207    1.76601    1.81423     1.86742    1.97154   0.00146114
a_subj(HC.hoarding).51           0.906993   0.0483514    0.821851   0.874092   0.904322    0.936283    1.01398   0.00141541
a_subj(HC.hoarding).52            1.67576   0.0839742     1.52187    1.61746    1.67292     1.72941    1.84856   0.00191728
a_subj(HC.neutral).10              3.4553    0.312756     2.83652    3.24815    3.46489     3.66653    4.05097    0.0163494
a_subj(HC.neutral).12             3.59248    0.556907     2.66182    3.17923     3.5387     3.96741     4.7393    0.0440841
a_subj(HC.neutral).13             2.60252     0.26774     2.12284    2.41553     2.5894     2.76947    3.17283     0.015598
a_subj(HC.neutral).14              3.3325    0.421585     2.59625    3.02379    3.29867     3.61325    4.21379    0.0268061
a_subj(HC.neutral).15              2.4186    0.253135     1.97808    2.23819    2.40337     2.58424    2.96214    0.0143539
