                                     mean         std        2.5q        25q        50q         75q      97.5q       mc err
pos_alpha_subj(HC.hoarding).46    4.53384     2.48589     1.02372    2.66558    4.18621     5.93388    10.5145     0.108792
pos_alpha_subj(HC.hoarding).47    4.57589     2.46562     1.02147    2.77805    4.21321     5.97383    10.5262     0.104828
pos_alpha_subj(HC.hoarding).48    1.85319     2.79074    -1.44007 -0.0300301    1.02729     2.98737    9.35038    0.0874026
pos_alpha_subj(HC.hoarding).49    5.06162     2.51064      1.0521    3.24714    4.71283      6.5216    10.8237     0.113051
pos_alpha_subj(HC.hoarding).50    3.89565     2.65073    0.071619    1.82371    3.51137     5.49417    10.0783    0.0926546
pos_alpha_subj(HC.hoarding).51  -0.169016     1.33326    -1.58871  -0.871701  -0.432399     0.15578     2.8635    0.0530897
pos_alpha_subj(HC.hoarding).52    4.52113     2.53274    0.953501    2.62445    4.15097      6.0203    10.2931     0.102736
pos_alpha_subj(HC.neutral).10     4.58055     2.52733    0.677552    2.76222    4.23837     6.11047    10.3416     0.109447
pos_alpha_subj(HC.neutral).12    -1.67351     1.30481    -2.64095   -2.24864    -1.9934    -1.66255    2.19292    0.0964017
pos_alpha_subj(HC.neutral).13     3.69163     2.70958   -0.143301    1.60869     3.3262     5.25205    9.98362    0.0968694
pos_alpha_subj(HC.neutral).14   -0.428569    0.762471    -1.68447  -0.929438  -0.476142 -0.00887796   0.886549    0.0291522
pos_alpha_subj(HC.neutral).15    -1.19921     1.86233    -2.47463    -2.0662   -1.77761    -1.35121     5.1204    0.0919561
pos_alpha_subj(HC.neutral).16       4.169     2.56774    0.650972    2.27943    3.74843     5.59114    10.2198     0.102135
pos_alpha_subj(HC.neutral).17     1.55926      2.6596    -1.61064  -0.285808   0.728268     2.75161    8.40275    0.0747389
pos_alpha_subj(HC.neutral).19     4.06979     2.59744    0.558466    2.16057    3.67485     5.55757    10.1732     0.102675
pos_alpha_subj(HC.neutral).20     2.55657     2.97145    -1.13254   0.146958    1.95562     4.34534    9.46622    0.0922189
pos_alpha_subj(HC.neutral).21      3.8396     2.65449    0.192481    1.82812     3.3978     5.37316    10.0276    0.0987073
pos_alpha_subj(HC.neutral).23    -1.21314     1.62316    -2.42153   -1.99097   -1.71267    -1.27639    4.13467    0.0737886
pos_alpha_subj(HC.neutral).24     3.51116     2.75992   -0.511979    1.32797    3.10873      5.1942    9.92297    0.0950644
pos_alpha_subj(HC.neutral).25     4.18545      2.5272    0.661796    2.32452    3.79883     5.66291    10.1648     0.103051
pos_alpha_subj(HC.neutral).26     4.06095     2.65558    0.425689    2.04725    3.65626     5.60895    10.2339      0.10068
pos_alpha_subj(HC.neutral).28     3.26313     2.75967   -0.710751    1.04549     2.8324     4.90066    9.71874    0.0848893
pos_alpha_subj(HC.neutral).31     3.45417     2.73034   -0.136105    1.28635     2.8844     5.06122    9.87864    0.0996413
pos_alpha_subj(HC.neutral).32     4.20244     2.58912      0.5578    2.30942    3.84386     5.70825    10.0899     0.108757
pos_alpha_subj(HC.neutral).33      3.1572      2.7642   -0.560241   0.907816    2.60054     4.83059    9.68652    0.0888389
pos_alpha_subj(HC.neutral).34     1.77678      2.7013   -0.811217   -0.05491    0.69737     2.95318    9.04901    0.0882157
pos_alpha_subj(HC.neutral).39     4.81134     2.42848    0.706751    3.18847    4.52195     6.14778     10.499     0.108145
pos_alpha_subj(HC.neutral).40     1.76046     2.37715   -0.638908   0.309676   0.858515     2.34365    8.63611    0.0746387
pos_alpha_subj(HC.neutral).41     2.94525     2.61056   -0.257965   0.868183    2.24301     4.44325    9.64562     0.082462
pos_alpha_subj(HC.neutral).43   -0.230768     1.64107    -1.75688   -1.16513  -0.703906    0.140706    4.84791    0.0516434
pos_alpha_subj(HC.neutral).44     4.01385     2.68539    0.066234     2.0249    3.62799     5.60058    10.2803     0.103315
pos_alpha_subj(HC.neutral).46     3.70508     2.69229   -0.260736    1.61356    3.35761     5.41869     9.8399    0.0980868
pos_alpha_subj(HC.neutral).48     3.90208     2.56821    0.563202    1.97198    3.45279     5.33286    10.1292     0.102665
pos_alpha_subj(HC.neutral).49     2.56299     2.71841    -1.13451   0.686881     1.8499     4.07914    9.27683     0.100591
pos_alpha_subj(HC.neutral).52     4.28024     2.63356    0.560392    2.38205     3.9053     5.78873    10.3139     0.108552
pos_alpha_subj(HC.neutral).53    -1.76456     0.58934    -2.27684   -2.02305   -1.87678     -1.7219   0.707453    0.0542464
pos_alpha_subj(HC.neutral).54     3.81064      2.7336   -0.137244    1.65337    3.44957     5.46491    10.0111    0.0995197
pos_alpha_subj(HC.neutral).55     2.74876     2.59672    -0.39527   0.761912    1.99804     4.16744    9.30103    0.0826863
pos_alpha_subj(HC.neutral).56     4.46937     2.55698    0.682421    2.63448    4.14921      5.9082    10.4248     0.108901
pos_alpha_subj(HC.neutral).57     3.95677     2.67493     0.04077    1.98407    3.62422     5.54179    10.2786     0.103461
pos_alpha_subj(HC.neutral).58     4.61221     2.49962    0.696909    2.86724    4.25701     6.07093    10.3463     0.113589
pos_alpha_subj(HC.neutral).59     3.40554      2.6468 -0.00816452    1.33737    2.81343     4.97615     9.7771    0.0878456
pos_alpha_subj(HC.neutral).60     4.15776     2.67173    0.402164    2.15888    3.76828     5.67456    10.4739      0.10731
pos_alpha_subj(HC.neutral).61     3.99587     2.53624    0.587205    2.06002    3.57285     5.54748    9.80454    0.0971486
pos_alpha_subj(HC.neutral).62     3.65154     2.60335  -0.0988432    1.67343    3.23867      5.1945    9.65737    0.0930768
DIC: 5024.003867
deviance: 4863.741634
pD: 160.262233
