ii                                    mean         std        2.5q        25q         50q        75q      97.5q       mc_err
v_subj(DDA.neutral).1              2.80869    0.334203     2.20353    2.56759     2.79658    3.03637    3.50004   0.00967568
v_subj(DDA.neutral).2               3.8407    0.793998     2.63898    3.30301     3.72805    4.22728    5.77203    0.0324114
v_subj(DDA.neutral).3              1.20933       1.911    -1.66317 -0.0170834     0.78818    2.11142    5.95636    0.0560175
v_subj(DDA.neutral).4              1.14259    0.155442    0.854666    1.03458     1.14061    1.24737    1.44922    0.0027084
v_subj(DDA.neutral).5               2.4715     1.53821    0.624838    1.29563     2.02273    3.35652     6.2513    0.0792261
v_subj(DDA.neutral).6              1.35928     0.59613    0.416986   0.978635     1.30261    1.66542    2.65442    0.0137575
v_subj(DDA.neutral).7               6.0007    0.683952     4.75494    5.52465     5.97121    6.45983     7.4206    0.0170325
v_subj(DDA.neutral).8                12.06      1.7889     8.59251    10.8618     11.9966    13.2438    15.7132    0.0380456
v_subj(DDA.neutral).9              2.07535    0.687476     1.12884    1.60995     1.94052    2.38821    3.89155    0.0304643
v_subj(DDA.neutral).10             1.38155      1.5688    -0.25277   0.418691    0.807568     1.8271    5.84333    0.0634372
v_subj(DDA.neutral).11             5.98679     0.73942     4.55998    5.45591     5.99794    6.48996    7.43471    0.0244388
v_subj(DDA.neutral).12            0.649974     1.13015    -1.09752   0.285861    0.427618   0.647379    3.74212    0.0321235
v_subj(DDA.neutral).13              3.2691     1.69258    0.502411    2.12833     3.12604    4.22847     7.1806    0.0595593
v_subj(HC.hoarding).14            0.923603    0.228046    0.551886   0.769048    0.902475    1.04887    1.43495   0.00596159
v_subj(HC.hoarding).15             2.83915    0.310954     2.28217    2.62747      2.8185    3.02334    3.49811   0.00942341
v_subj(HC.hoarding).16             0.44932     1.73026    -2.38201  -0.526936   0.0565964    1.18473    4.70467    0.0511164
v_subj(HC.hoarding).17              1.0936    0.671213    0.130999   0.587826      1.0007    1.52161    2.49938    0.0241454
v_subj(HC.hoarding).18             4.60486     1.02406     2.39364    4.01219     4.66381    5.27056    6.45881    0.0465911
v_subj(HC.hoarding).19             1.33441    0.748209    0.625392   0.915876     1.10957    1.42302    3.68761    0.0385189
v_subj(HC.hoarding).20             8.45263     1.00488     6.56887    7.76846     8.42367    9.14195    10.4557    0.0243572
v_subj(HC.hoarding).21             3.39507    0.614603      2.4161    2.95202     3.31069    3.76568    4.79025    0.0217107
v_subj(HC.hoarding).22             4.11704    0.594108     3.04271    3.71003     4.08234    4.48799    5.39878    0.0229548
v_subj(HC.hoarding).23             2.06118    0.251543     1.56898    1.89708     2.05507     2.2291    2.57905   0.00494472
v_subj(HC.hoarding).24             1.11911    0.204329    0.766918   0.983493     1.09905    1.23857    1.57912   0.00534624
v_subj(HC.hoarding).25             1.40636    0.762821    0.460685    0.74499     1.23454    1.93476    3.08775    0.0460925
v_subj(HC.hoarding).26             1.60332     2.06309    -1.19993   0.110861    0.868497     2.9592    6.57763    0.0783158
v_subj(HC.hoarding).27            -10.1568    0.929884     -12.132    -10.724    -10.1112   -9.52279   -8.42114    0.0502272
