response,stim,rt,trial,feedback,subj_code,q_init
1,hoarding,0.34,24,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.689,25,0,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.719,26,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.454,27,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.386,28,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.411,29,1,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.53,30,1,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.401,31,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.522,32,1,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.885925648763282,33,1,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.551,34,1,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.261,35,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.221,36,0,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.665,37,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,1.124,38,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.957,39,0,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.451,40,0,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.913428724941162,41,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.544,42,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.452,43,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.475,44,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.572,45,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.659,46,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.425,47,0,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.963,48,0,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.488,49,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.431,50,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.712,51,0,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.589,52,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.608,53,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.457,54,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.516,55,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.628,56,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.742,57,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,1.106,58,1,ma_za_1959_12_04_04_f,0.5
