response,stim,rt,trial,feedback,subj_code,q_init
0,neutral,1.729,74,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,2.073,75,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.78,76,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.34,77,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.631,78,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.286,79,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,2.144,80,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.003,81,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.894,82,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.668,83,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.171,84,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,0.936,85,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,0.98,86,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.677,87,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.087,88,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,2.375,89,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.873,90,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.337,91,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,2.129,92,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.959,93,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.962,94,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.291,95,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,2.024,96,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.875,97,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.827,98,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,2.012,99,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.216,100,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,0.985,101,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.138,102,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.773,103,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,2.234,104,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.512,105,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.025,106,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.829,107,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.358,108,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,0.985,109,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.094,110,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.317,111,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.318,112,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,0.933965476075691,113,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,0.712,114,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.45,115,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.076,116,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.932,117,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.349,118,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.481,119,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.429,120,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.151,121,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,0.774,122,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.488,123,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,2.248,124,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.775,125,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.075,126,0,gi_ba_1958_08_17_01_m,0.5
